,id,price,address,city,state,zipcode,type,beds,baths,sqft,latitude,longitude,url,broker
0,2061851447,5500000,8601 S Albion Basin Rd,Sandy,UT,84092,SINGLE_FAMILY,6.0,5.0,6408.0,40.593044,-111.624115,https://www.zillow.com/homedetails/8601-S-Albion-Basin-Rd-Sandy-UT-84092/2061851447_zpid/,KW Keller Williams
2,12932669,4499000,9740 E Bypass Rd #26,Alta,UT,84092,TOWNHOUSE,4.0,5.0,3600.0,40.586254,-111.64961,https://www.zillow.com/homedetails/9740-E-Bypass-Rd-26-Alta-UT-84092/12932669_zpid/,BHHS Utah Properties
4,67699513,379900,14078 S Julien Cv,Bluffdale,UT,84065,TOWNHOUSE,3.0,3.0,1475.0,40.495575,-111.93388,https://www.zillow.com/homedetails/14078-S-Julien-Cv-Bluffdale-UT-84065/67699513_zpid/,Century 21 Everest
5,251207242,575000,15134 S White Hart Ln,Bluffdale,UT,84065,SINGLE_FAMILY,3.0,3.0,2977.0,40.476547,-111.90774,https://www.zillow.com/homedetails/15134-S-White-Hart-Ln-Bluffdale-UT-84065/251207242_zpid/,Summit Sotheby Realty
6,122071285,585000,789 W Star Spangled Dr,Bluffdale,UT,84065,SINGLE_FAMILY,5.0,4.0,2671.0,40.478275,-111.913345,https://www.zillow.com/homedetails/789-W-Star-Spangled-Dr-Bluffdale-UT-84065/122071285_zpid/,Jupidoor LLC
7,65725937,338000,14066 S Almaden Cv,Bluffdale,UT,84065,CONDO,3.0,2.0,1249.0,40.495888,-111.93234,https://www.zillow.com/homedetails/14066-S-Almaden-Cv-Bluffdale-UT-84065/65725937_zpid/,Century 21 Everest
8,12936220,825000,15159 S Mountainside Dr,Bluffdale,UT,84065,SINGLE_FAMILY,5.0,2.0,3234.0,40.475822,-111.95176,https://www.zillow.com/homedetails/15159-S-Mountainside-Dr-Bluffdale-UT-84065/12936220_zpid/,Engel & Volkers
9,122071667,679000,15214 S Rocket Dr,Bluffdale,UT,84065,SINGLE_FAMILY,6.0,4.0,3187.0,40.47505,-111.91697,https://www.zillow.com/homedetails/15214-S-Rocket-Dr-Bluffdale-UT-84065/122071667_zpid/,"Top Equity Realty, LLC"
10,248856880,449000,1064 W Narrows Ln,Riverton,UT,84065,TOWNHOUSE,3.0,3.0,2168.0,40.48171,-111.92216,https://www.zillow.com/homedetails/1064-W-Narrows-Ln-Riverton-UT-84065/248856880_zpid/,"Sky Realty Company, LLC"
11,2060688234,500000,15076 S Halter Way,Riverton,UT,84065,TOWNHOUSE,3.0,3.0,2492.0,40.47734,-111.9262,https://www.zillow.com/homedetails/15076-S-Halter-Way-Riverton-UT-84065/2060688234_zpid/,KW Keller Williams
12,97755602,829999,1585 W Secretariat Dr,Bluffdale,UT,84065,SINGLE_FAMILY,5.0,4.0,4500.0,40.472164,-111.935814,https://www.zillow.com/homedetails/1585-W-Secretariat-Dr-Bluffdale-UT-84065/97755602_zpid/,PRIME RESIDENTIAL BROKERS
13,251210998,599000,971 W McKenna Rd,Bluffdale,UT,84065,SINGLE_FAMILY,3.0,3.0,3046.0,40.479557,-111.919174,https://www.zillow.com/homedetails/971-W-McKenna-Rd-Bluffdale-UT-84065/251210998_zpid/,RE/MAX Associates
14,248854881,830000,15128 S Inverleith Cv,Bluffdale,UT,84065,SINGLE_FAMILY,5.0,4.0,3634.0,40.476704,-111.909454,https://www.zillow.com/homedetails/15128-S-Inverleith-Cv-Bluffdale-UT-84065/248854881_zpid/,Century 21 Everest
15,337868708,510000,16096 S Truss Dr,Bluffdale,UT,84065,TOWNHOUSE,3.0,3.0,2331.0,40.45877,-111.937675,https://www.zillow.com/homedetails/16096-S-Truss-Dr-Bluffdale-UT-84065/337868708_zpid/,"North Realty, LLC"
16,337867745,450000,15497 S Aqua Mountain Ln,Bluffdale,UT,84065,TOWNHOUSE,3.0,3.0,1956.0,40.469906,-111.91999,https://www.zillow.com/homedetails/15497-S-Aqua-Mountain-Ln-Bluffdale-UT-84065/337867745_zpid/,Selling Utah Real Estate
17,2060685600,448990,15133 S Halter Way #671,Riverton,UT,84065,TOWNHOUSE,4.0,4.0,2086.0,40.476505,-111.92635,https://www.zillow.com/homedetails/15133-S-Halter-Way-671-Riverton-UT-84065/2060685600_zpid/,Woodside Homes of Utah LLC
18,97766211,1115000,951 W Grizzly Wulff Dr,Bluffdale,UT,84065,SINGLE_FAMILY,5.0,3.0,4658.0,40.49496,-111.917564,https://www.zillow.com/homedetails/951-W-Grizzly-Wulff-Dr-Bluffdale-UT-84065/97766211_zpid/,"Real Estate Exchange, Inc."
19,2060740916,490000,1134 W Early Light Way,Riverton,UT,84065,TOWNHOUSE,3.0,3.0,2709.0,40.468594,-111.92412,https://www.zillow.com/homedetails/1134-W-Early-Light-Way-Riverton-UT-84065/2060740916_zpid/,EXP Realty
20,248856243,599000,15197 S Brave Dr,Bluffdale,UT,84065,SINGLE_FAMILY,3.0,2.0,3141.0,40.475285,-111.915504,https://www.zillow.com/homedetails/15197-S-Brave-Dr-Bluffdale-UT-84065/248856243_zpid/,Stratus Real Estate Solutions
21,72627630,1999000,2618 W 15250 S,Bluffdale,UT,84065,SINGLE_FAMILY,7.0,6.0,5986.0,40.474426,-111.95591,https://www.zillow.com/homedetails/2618-W-15250-S-Bluffdale-UT-84065/72627630_zpid/,"Top Equity Realty, LLC"
22,12935628,955000,2583 W 14400 S,Bluffdale,UT,84065,SINGLE_FAMILY,5.0,3.0,4190.0,40.48935,-111.95504,https://www.zillow.com/homedetails/2583-W-14400-S-Bluffdale-UT-84065/12935628_zpid/,Equity Real Estate
23,333163290,420000,1048 W Azul Meadows Way,Bluffdale,UT,84065,TOWNHOUSE,2.0,2.0,1811.0,40.470146,-111.92172,https://www.zillow.com/homedetails/1048-W-Azul-Meadows-Way-Bluffdale-UT-84065/333163290_zpid/,ERA Brokers
24,12935302,999950,13977 S White Tail Cv,Bluffdale,UT,84065,SINGLE_FAMILY,5.0,4.0,4348.0,40.49742,-111.9823,https://www.zillow.com/homedetails/13977-S-White-Tail-Cv-Bluffdale-UT-84065/12935302_zpid/,Real Broker
25,248856078,454000,1099 W Emerald Pools Ln,Bluffdale,UT,84065,TOWNHOUSE,3.0,2.0,2101.0,40.47996,-111.923225,https://www.zillow.com/homedetails/1099-W-Emerald-Pools-Ln-Bluffdale-UT-84065/248856078_zpid/,Century 21 Everest
26,145683183,449900,14743 S Nob Ln,Bluffdale,UT,84065,TOWNHOUSE,3.0,3.0,2480.0,40.483604,-111.90755,https://www.zillow.com/homedetails/14743-S-Nob-Ln-Bluffdale-UT-84065/145683183_zpid/,Century 21 Everest
28,2061991709,721950,"Longleaf Plan, Sage Estates",Riverton,UT,84065,SINGLE_FAMILY,4.0,3.0,3555.0,40.49446,-111.93303,https://www.zillow.com/community/sage-estates/2061991709_zpid/,
